name,symbol,market_cap,volume_24h,market_cap_ratio,volume_24h_ratio
Major,MAJOR,23639776.56683702,134967769.6406153,0.00,0.02
Wing Finance,WING,23626080.588462215,2258602.52558645,0.00,0.00
PeiPei (ETH),PEIPEI,23465311.119401295,3564596.07744391,0.00,0.00
Foxsy AI,FOXSY,23426337.94650269,1694187.58541915,0.00,0.00
Self Chain,SLF,23366967.777894784,19466998.97436731,0.00,0.00
KIKICat,KIKI,23253607.56013597,4115893.8687394,0.00,0.00
PepeFork,PORK,23225113.53302549,2167665.24120106,0.00,0.00
Agoras: Tau Net,AGRS,23123097.01407674,125376.17730488,0.00,0.00
Shrub,SHRUB,23117277.488053173,10132048.23967397,0.00,0.00
MATH,MATH,23105743.28024237,641383.39198401,0.00,0.00
Cornucopias,COPI,23045760.647511233,822668.41290961,0.00,0.00
Suku,SUKU,23008695.50542702,626026.97911034,0.00,0.00
Bitcoin Atom,BCA,22937948.291904222,0.04521518,0.00,0.00
Zoo World,ZOO,22932232.30155696,655448.13020671,0.00,0.00
SIX,SIX,22857349.2176976,821359.44504928,0.00,0.00
Sperax,SPA,22795869.478887297,2110603.92158234,0.00,0.00
Zero1 Labs,DEAI,22788320.337511342,5787735.79054553,0.00,0.00
Hoppy,HOPPY,22701464.42002922,5363047.05103851,0.00,0.00
Gold DAO,GLDGOV,22650316.565360684,39008.84853738,0.00,0.00
Grok,GROK,22649413.104790296,12659706.34138223,0.00,0.00
neur.sh,NEUR,22601365.678646743,66116234.01672657,0.00,0.01
BurgerCities,BURGER,22584290.01064501,14482435.42692012,0.00,0.00
Purple Pepe,$PURPE,22536923.608274654,12810704.0834638,0.00,0.00
VIDT DAO,VIDT,22323691.263434995,11312700.49898343,0.00,0.00
Bluzelle,BLZ,22163556.166624807,4702707.03127643,0.00,0.00
Opulous,OPUL,21892656.198519714,1208469.98032647,0.00,0.00
Velas,VLX,21695201.987582974,1073279.81382002,0.00,0.00
PIVX,PIVX,21661627.262075447,3390142.16043202,0.00,0.00
Cook Finance,COOK,21619117.24188225,195689.68908395,0.00,0.00
MAGA (maga-hat.vip),MAGA,21606282.88285453,28590783.19229369,0.00,0.00
Taraxa,TARA,21526585.036053464,645958.62034959,0.00,0.00
PlayDapp,PDA,21404780.342572883,10750933.95261574,0.00,0.00
Vita Inu,VINU,21345183.79844924,5464184.77859686,0.00,0.00
TROY,TROY,21284999.550862886,38757348.22599167,0.00,0.01
Alpaca Finance,ALPACA,21173708.529332884,8763601.15993416,0.00,0.00
Dragonchain,DRGN,21073984.84116845,80737.43294771,0.00,0.00
VAIOT,VAI,20832419.85020676,1238139.14047741,0.00,0.00
AirDAO,AMB,20708153.201089323,5065540.4552626,0.00,0.00
Prosper,PROS,20650805.127568472,5807331.61158864,0.00,0.00
Ethervista,VISTA,20630070.40630645,15628757.75334309,0.00,0.00
HyperGPT,HGPT,20583476.978656787,3525282.01010856,0.00,0.00
Mother Iggy,MOTHER,20543588.59609741,12454998.01694203,0.00,0.00
Kryll,KRL,20475177.084549706,508921.24415631,0.00,0.00
LayerAI,LAI,20459126.095735982,4746342.29070544,0.00,0.00
ARC,ARC,20429215.381868068,835227.90009502,0.00,0.00
Galeon,GALEON,20405990.1965135,197975.00453454,0.00,0.00
Shoggoth (shoggoth.monster),SHOGGOTH,20359252.381943498,11855751.11389083,0.00,0.00
Counterparty,XCP,20297715.96562516,23.49445462,0.00,0.00
Propbase,PROPS,20220043.198208347,1632316.48322281,0.00,0.00
Paris Saint-Germain Fan Token,PSG,20182491.60861451,5299339.64076451,0.00,0.00
Synternet,SYNT,20149872.212951347,4793915.54974642,0.00,0.00
SHPING,SHPING,19919741.29105475,483548.29199748,0.00,0.00
METAVERSE,METAV,19901811.793582685,7432719.93408,0.00,0.00
sUSD,SUSD,19834377.631770298,1393102.73289453,0.00,0.00
Lumoz,MOZ,19809411.2403357,1631555.16970626,0.00,0.00
crow with knife,CAW,19754763.75522746,1167885.18790941,0.00,0.00
RabBitcoin,RBTC,19638855.686091192,4166650.26293273,0.00,0.00
e-Radix,EXRD,19584679.146789365,75323.40220667,0.00,0.00
Strawberry AI,BERRY,19572010.598139912,1037766.38429953,0.00,0.00
zKML,ZKML,19568870.339868214,456140.48462636,0.00,0.00
Moon Tropica,CAH,19521224.720713217,261222.99633394,0.00,0.00
AXEL,AXEL,19405577.764952004,729.24320249,0.00,0.00
Tribal Finance,TRIBL,19351680.513831943,2868.41243679,0.00,0.00
TrustSwap,SWAP,19240032.689276677,60445736.6516575,0.00,0.01
Tenset,10SET,19097888.551684756,848491.02841393,0.00,0.00
Hege,HEGE,19023052.20211584,2115730.81894167,0.00,0.00
Shapeshift FOX Token,FOX,19010634.578791063,1906555.63672057,0.00,0.00
MON,MON,18988292.33951585,5088560.29911831,0.00,0.00
Basenji,BENJI,18980813.355301082,4202459.86192979,0.00,0.00
Mango,MNGO,18932817.785906494,54147.3496794,0.00,0.00
Clash of Lilliput,COL,18872334.633389845,28.5920145,0.00,0.00
Guild of Guardians,GOG,18832158.886180934,875700.60323105,0.00,0.00
Santos FC Fan Token,SANTOS,18806434.39455585,13450078.4314254,0.00,0.00
Samoyedcoin,SAMO,18757143.77801826,4614365.80392656,0.00,0.00
Genopets,GENE,18589282.60134039,1094595.14140777,0.00,0.00
LinqAI,LNQ,18537976.47914088,663980.47081666,0.00,0.00
MonaCoin,MONA,18405093.977908865,260827.57768101,0.00,0.00
TAOCat by Virtuals & Masa,TAOCAT,18353903.134604476,12085396.79155364,0.00,0.00
Decubate,DCB,18329795.501470644,190333.60901401,0.00,0.00
Swarm,BZZ,18311776.687443558,803750.88979439,0.00,0.00
Cere Network,CERE,18180736.173479773,573780.5656686,0.00,0.00
Kava Lend,HARD,18159166.569245163,9141601.00098757,0.00,0.00
Hermez Network,HEZ,18071741.94908278,75678.22558419,0.00,0.00
Polytrade,TRADE,17995611.163881276,597342.48877396,0.00,0.00
Fluence,FLT,17921487.144642647,1310913.68738118,0.00,0.00
Rupiah Token,IDRT,17831296.921203453,7354.034223,0.00,0.00
Cream Finance,CREAM,17789665.268250648,8273043.21107364,0.00,0.00
Divi,DIVI,17747505.135369666,146447.92022121,0.00,0.00
Nimiq,NIM,17703889.476846352,145080.25582622,0.00,0.00
Seraph,SERAPH,17457221.3453334,53339162.77145948,0.00,0.01
GmeStop,GME,17311485.751018435,10271458.54985027,0.00,0.00
STUFF.io,STUFF,17272475.301678266,212102.3813491,0.00,0.00
AstraAI,ASTRA,17087298.410888597,46550.6517341,0.00,0.00
Verified USD,USDV,17028921.893446863,6254.42093828,0.00,0.00
Free Palestine,YAFA,17002449.032239575,519018.34058523,0.00,0.00
Volt Inu,VOLT,16970035.048361257,329377.23190904,0.00,0.00
Kleros,PNK,16915182.50596828,163238.69508864,0.00,0.00
Cellframe,CELL,16895992.585892357,2021243.5030071,0.00,0.00
REVOX,REX,16791279.166017838,12145161.24940747,0.00,0.00
FC Barcelona Fan Token,BAR,16772556.425226666,3261629.66716519,0.00,0.00
Diamond Launch,DLC,16725465.741960613,109024.37688946,0.00,0.00
Vector Smart Gas,VSG,16656260.43778522,384167.16101494,0.00,0.00
MiraclePlay,MPT,16519592.19524328,3026287.9765318,0.00,0.00
OG Fan Token,OG,16499075.243819654,14690178.83966735,0.00,0.00
NuNet,NTX,16491453.347165056,156744.40396081,0.00,0.00
SquidGrow,SQGROW,16410858.590516182,438176.64117168,0.00,0.00
Quiztok,QTCON,16354376.120465122,2677945.07073836,0.00,0.00
Micro GPT,$MICRO,16278032.692620045,6092402.60172512,0.00,0.00
iMe Lab,LIME,16249374.258556146,524797.91000615,0.00,0.00
Castello Coin,CAST,16068158.168400144,22.60583435,0.00,0.00
Fulcrom Finance,FUL,15965975.155819096,181910.97917175,0.00,0.00
UNS TOKEN,UNS,15872658.707052475,450.17173975,0.00,0.00
pSTAKE Finance,PSTAKE,15834276.414429322,2094645.15473909,0.00,0.00
Nine Chronicles,WNCG,15764755.711272873,1058070.58109278,0.00,0.00
Matr1x Fire,FIRE,15729474.391852163,3744457.42552063,0.00,0.00
Scallop,SCA,15725004.478170859,9639987.95428153,0.00,0.00
AMO Coin,AMO,15724305.431222595,1027044.97712808,0.00,0.00
Koinos,KOIN,15665695.773761937,74932.61019418,0.00,0.00
Sovryn,SOV,15653214.648814443,64674.54495766,0.00,0.00
Graphlinq Chain,GLQ,15632963.062640756,1828272.13270122,0.00,0.00
LumiWave,LWA,15576889.271032272,1143307.32320941,0.00,0.00
KYVE Network,KYVE,15570677.551464615,34216.87549528,0.00,0.00
SingularityDAO,SDAO,15512877.050916823,595351.06383197,0.00,0.00
ParaSwap,PSP,15498146.335629733,144127.39150537,0.00,0.00
Happy Cat,HAPPY,15480220.633973595,23380562.59549684,0.00,0.00
Ellipsis,EPS,15424018.376181554,220.90394846,0.00,0.00
Venus LINK,vLINK,15331761.268666908,0.0,0.00,0.00
Colony,CLY,15219543.8703894,111293.19547968,0.00,0.00
AirSwap,AST,15148472.63405093,5648724.47841522,0.00,0.00
Kasta,KASTA,15121839.393081415,572122.28738698,0.00,0.00
Pandora,PANDORA,15056681.199606108,3230912.05138436,0.00,0.00
nubcat,NUB,14965672.462961182,3709367.77415005,0.00,0.00
Clore.ai,CLORE,14926064.705757402,4472621.33865839,0.00,0.00
Hegic,HEGIC,14900380.464739654,129768.41750127,0.00,0.00
Cryptex Finance,CTX,14880369.50315706,235286.78607005,0.00,0.00
Pino,PINO,14861697.01142868,943767.80792656,0.00,0.00
dog with apple in mouth,APPLE,14821803.564219331,10466280.93859527,0.00,0.00
bitsCrunch,BCUT,14775267.327415848,2066246.71715654,0.00,0.00
Shrapnel,SHRAP,14649219.044600282,948741.12965907,0.00,0.00
Matr1x,MAX,14647069.097196585,25078248.89622601,0.00,0.00
Namecoin,NMC,14638454.840621233,9852.47302846,0.00,0.00
Veno Finance,VNO,14605897.545412818,87079.38710832,0.00,0.00
Koala AI,KOKO,14592780.375539467,859755.111475,0.00,0.00
ParagonsDAO,PDT,14588531.178135611,168532.90603154,0.00,0.00
Muhdo Hub,DNA,14544172.729682062,194809.21474755,0.00,0.00
OVR,OVR,14534571.796237491,534283.13414017,0.00,0.00
Fractal Bitcoin,FB,14531331.790663183,10358678.52406888,0.00,0.00
Smog,SMOG,14509876.018236259,66627.54534711,0.00,0.00
Neon EVM,NEON,14463829.680908766,2964680.65155776,0.00,0.00
Defigram,DFG,14456670.097988607,8626.00813176,0.00,0.00
MNEE,MNEE,14451133.628263712,81470.80283187,0.00,0.00
Multibit,MUBI,14325204.597457642,4827653.04573594,0.00,0.00
OpenGPU,oGPU,14305104.034507072,455205.87572069,0.00,0.00
Reef,REEF,14284233.304192843,15498841.37227522,0.00,0.00
FLock.io,FLOCK,14223646.446835045,24865092.54393781,0.00,0.00
GAM3S.GG,G3,14220791.422217375,491353.16736506,0.00,0.00
Partisia Blockchain,MPC,14208590.293906864,283376.83286287,0.00,0.00
S.S. Lazio Fan Token,LAZIO,14150274.745074417,8167060.98173657,0.00,0.00
MAD,MAD,14090268.946727319,2282627.69433658,0.00,0.00
WAGMI Games,WAGMIGAMES,14087531.30759807,660298.0343831,0.00,0.00
Dolan Duck,DOLAN,14070387.247720292,1369189.85960486,0.00,0.00
Viberate,VIB,14002200.264786925,4552211.77486677,0.00,0.00
WhiteCoin,XWC,13910978.30899445,230266.73136357,0.00,0.00
LUCE,LUCE,13869635.72168519,24972151.04454055,0.00,0.00
DeFiChain,DFI,13865161.151894692,999302.46464935,0.00,0.00
Katana Inu,KATA,13779270.47253636,555049.83477621,0.00,0.00
Manchester City Fan Token,CITY,13735001.996526813,5098570.13842983,0.00,0.00
Blockasset,BLOCK,13692819.875451555,1408327.46604627,0.00,0.00
SpaceChain,SPC,13679346.186010264,10829.14278073,0.00,0.00
Hatom,HTM,13677526.814438177,286261.56853378,0.00,0.00
MileVerse,MVC,13649058.901232371,2669088.58337541,0.00,0.00
Peercoin,PPC,13614279.2580636,84492.78831011,0.00,0.00
PIBBLE,PIB,13552210.497027133,17445.96902688,0.00,0.00
Galxe,GAL,13468544.445642274,106390.76076254,0.00,0.00
Helium IOT,IOT,13465889.57339941,24221.33405093,0.00,0.00
DMAIL Network,DMAIL,13456009.892770229,3441584.45613478,0.00,0.00
Numogram,GNON,13410188.358456245,5188906.48693751,0.00,0.00
Atlas Navi,NAVI,13386879.078668496,247814.68148167,0.00,0.00
Thala,THL,13362896.70753673,772935.80754946,0.00,0.00
Dynex,DNX,13326933.695785677,1450434.10362434,0.00,0.00
MixMarvel,MIX,13301324.377070293,6067102.80366427,0.00,0.00
DecideAI,DCD,13239228.519191133,248248.58691585,0.00,0.00
Banana For Scale,BANANAS31,13205254.762344822,13513597.0022749,0.00,0.00
Alpine F1 Team Fan Token,ALPINE,13173959.554514835,6189816.2622063,0.00,0.00
World of Dypians,WOD,13144487.762484433,826130.65299799,0.00,0.00
Skibidi Toilet,SKBDI,13139593.07207217,1975719.14962529,0.00,0.00
Stake DAO,SDT,13094471.883674566,8692.55095379,0.00,0.00
GALAXIA,GXA,13054114.79932221,73511.78663045,0.00,0.00
Ultiverse,ULTI,13045464.530283943,12219532.78603027,0.00,0.00
Vulcan Forged (LAVA),LAVA,13041400.84737988,191619.32078537,0.00,0.00
Morpheus.Network,MNW,13011068.91107689,115267.55023734,0.00,0.00
DACXI,DXI,13006297.79255268,276446.23971213,0.00,0.00
XDB CHAIN,XDB,12990550.735310014,1430035.03199782,0.00,0.00
GYEN,GYEN,12954781.010256838,23492.73134207,0.00,0.00
Artyfact,ARTY,12932354.381928256,4449815.56164655,0.00,0.00
Swarm Markets,SMT,12925259.23159502,1260540.85928929,0.00,0.00
Bellscoin,BELLS,12914813.40982402,3433793.44019717,0.00,0.00
FC Porto Fan Token,PORTO,12821362.098667903,9751085.3438834,0.00,0.00
Aventus,AVT,12783758.48293443,194480.23647115,0.00,0.00
Tectonic,TONIC,12737657.84333419,136200.54176784,0.00,0.00
UNCX Network,UNCX,12735030.95052557,17681.52946663,0.00,0.00
Pythia,PYTHIA,12715828.784311535,4430918.54758922,0.00,0.00
Statter Network,STT,12678008.726417495,48364926.13926974,0.00,0.01
PAW,PAW,12664004.394673536,467860.86946224,0.00,0.00
AVINOC,AVINOC,12661364.05117668,1416.76097999,0.00,0.00
UFO Gaming,UFO,12656404.08895814,828362.15792107,0.00,0.00
Cratos,CRTS,12644468.414055906,2084160.92268138,0.00,0.00
Smoking Chicken Fish,SCF,12632896.557968266,7286339.51401101,0.00,0.00
DexCheck AI,DCK,12620290.463948099,577978.7051052,0.00,0.00
ColossusXT,COLX,12536278.465072572,0.0,0.00,0.00
Pluton,PLU,12509453.452407854,1943887.93603855,0.00,0.00
Aurory,AURY,12451288.096936842,69993.92350132,0.00,0.00
KLAYswap Protocol,KSP,12444085.14905439,99873.70907351,0.00,0.00
Pitbull,PIT,12417463.308368804,337452.54864747,0.00,0.00
Laqira Protocol,LQR,12340377.939481247,508593.34615582,0.00,0.00
WiFi Map,WIFI,12280688.036356902,676905.48902952,0.00,0.00
Chrono.tech,TIME,12270469.575230079,395559.14534559,0.00,0.00
Openfabric AI,OFN,12254334.721090399,547440.58648544,0.00,0.00
Comtech Gold,CGO,12244489.096510133,644949.06804074,0.00,0.00
Dvision Network,DVI,12193020.752221132,465883.6327084,0.00,0.00
Ta-da,TADA,12186690.87127963,176790.56271399,0.00,0.00
DFI.Money,YFII,12126927.778408483,4722141.63892763,0.00,0.00
Baby Shark Meme,BABYSHARK,12072615.660101352,11019102.39905728,0.00,0.00
Magaverse,MVRS,12062309.501895325,18257138.89392408,0.00,0.00
XRP Healthcare,XRPH,12045863.021223968,707160.98679035,0.00,0.00
LeisureMeta,LM,12012168.433777262,1030150.89264227,0.00,0.00
XSwap,XSWAP,11993572.382597605,276396.60558563,0.00,0.00
HELLO Labs,HELLO,11961060.211690547,373544.59934034,0.00,0.00
Trias Token (New),TRIAS,11960993.666112216,1313297.17740924,0.00,0.00
KiboShib,KIBSHI,11876512.175720097,1161264.51368525,0.00,0.00
Vectorspace AI,VXV,11864822.925181814,87555.56553916,0.00,0.00
Rake Coin,RAKE,11834464.515262274,723558.03708862,0.00,0.00
ICB Network,ICBX,11814845.476068972,1771976.5345255,0.00,0.00
Blendr Network,BLENDR,11798115.842495805,512813.84837111,0.00,0.00
BOB (ETH),BOB,11797709.613706194,4324659.81319138,0.00,0.00
BioPassport Token,BIOT,11791944.297279965,3415254.68241529,0.00,0.00
Burnedfi,BURN,11770538.428194655,220348.69885131,0.00,0.00
Router Protocol (New),ROUTE,11716154.972203657,992242.52008379,0.00,0.00
NFT Worlds,WRLD,11664208.33811579,59024.0693028,0.00,0.00
Minati Coin,MNTC,11580857.802450959,1677534.43846767,0.00,0.00
Gleec Coin,GLEEC,11555890.446733149,546670.51331029,0.00,0.00
HI,HI,11542809.364099918,94081.4730924,0.00,0.00
Commune AI,COMAI,11365029.494970454,502479.99936839,0.00,0.00
AS Roma Fan Token,ASR,11357048.411151664,3322162.87410814,0.00,0.00
Memes AI,MemesAI,11337207.607307578,3024196.30663685,0.00,0.00
Gaimin,GMRX,11328352.960321039,273677.80951137,0.00,0.00
Atletico De Madrid Fan Token,ATM,11257423.502491487,2659227.44666809,0.00,0.00
Laika AI,LKI,11205104.967041926,2474150.62133097,0.00,0.00
Meter Governance,MTRG,11198800.052908877,72191.53739507,0.00,0.00
Sentinel,DVPN,11124548.647343215,197528.42923922,0.00,0.00
BLOCKLORDS,LRDS,11118483.943445211,9783282.75700006,0.00,0.00
WeBuy,WE,11105990.919490019,10531.01669403,0.00,0.00
AIT Protocol,AIT,11094691.096028278,481417.97515815,0.00,0.00
Mochi (New),MOCHI,11020807.68494235,657917.16674032,0.00,0.00
SaitaChain Coin,STC,11014585.536981387,243601.89856139,0.00,0.00
Juventus Fan Token,JUV,10971896.80670875,2952051.92486925,0.00,0.00
Edelcoin,EDLC,10960854.903712273,3670.97722977,0.00,0.00
Numerico,NWC,10944730.16980092,97747.37048546,0.00,0.00
VITE,VITE,10941456.148696866,2673052.85712611,0.00,0.00
Blockchain Foundation for Innovation & Collaboration,BFIC,10936825.078346213,14387.89251443,0.00,0.00
DeepBrain Chain,DBC,10925742.501599537,203889.5666357,0.00,0.00
CryptoAutos,AUTOS,10905531.880262664,1522381.63673187,0.00,0.00
imgnAI,IMGNAI,10897102.409274485,1169861.76613732,0.00,0.00
TERMINUS,TERMINUS,10862831.941720199,6582822.65360713,0.00,0.00
Soil,SOIL,10814071.769715916,188069.53220265,0.00,0.00
Philtoken,PHIL,10774255.623360049,8529548.00620672,0.00,0.00
NATIX Network,NATIX,10718215.50891641,285560.68857692,0.00,0.00
Chainge,XCHNG,10703947.901312545,763063.67967062,0.00,0.00
LATOKEN,LA,10684225.13073331,4679.92005034,0.00,0.00
Shido [New],SHIDO,10678969.234446816,49756.48284859,0.00,0.00
Rally,RLY,10651202.11882533,149381.25575499,0.00,0.00
Observer,OBSR,10647281.234779708,514695.87383996,0.00,0.00
Brett (ETH),BRETT,10622954.774770977,586333.45294446,0.00,0.00
Solanium,SLIM,10612173.13641569,763127.68664153,0.00,0.00
BIDR,BIDR,10574563.156620668,2.77056488,0.00,0.00
TG Casino,TGC,10573906.01296,39988.97163749,0.00,0.00
Stratos,STOS,10555667.835297491,456185.0511393,0.00,0.00
ChangeNOW Token,NOW,10493776.206948841,1528.6559419,0.00,0.00
Tarot,TAROT,10477443.195372762,364524.85375819,0.00,0.00
Polaris Share,POLA,10394920.992720487,2101290.20292663,0.00,0.00
Epic Cash,EPIC,10356596.760906648,4311.54536776,0.00,0.00
Hiero Terminal,HTERM,10354668.496281322,11185233.48527263,0.00,0.00
Decimal,DEL,10332821.183494017,3270.39943018,0.00,0.00
Solvex Network,SOLVEX,10293391.889051776,1922.53735266,0.00,0.00
LORDS,LORDS,10286770.446081966,82630.00968727,0.00,0.00
Project Plutus,PPCOIN,10254812.917639526,319041.30227932,0.00,0.00
DeFi Kingdoms,JEWEL,10231819.924139963,71334.03646568,0.00,0.00
QORPO WORLD,QORPO,10221586.783876307,271962.9761305,0.00,0.00
zkRace,ZERC,10208699.541492783,379596.25740553,0.00,0.00
8-Bit Coin,COIN,10187706.069879241,5692.70649853,0.00,0.00
r/CryptoCurrency Moons,MOON,10161673.32390186,265202.43607255,0.00,0.00
ALTAVA,TAVA,10154293.801744595,1996243.59566996,0.00,0.00
Jesus Coin,JESUS,10149391.810546366,128820.70113897,0.00,0.00
VNX Swiss Franc,VCHF,10148955.718858449,419272.95198404,0.00,0.00
Coupon Assets,CA,10120464.410690123,6902990.33178053,0.00,0.00
Electric Vehicle Zone,EVZ,10064535.718913712,632612.79013784,0.00,0.00
Bitcoin Diamond,BCD,10061497.172299908,15808.70836917,0.00,0.00
Pepe 2.0,PEPE2.0,10049108.482319199,1236978.56950224,0.00,0.00
TRVL (Dtravel),TRVL,10032888.522454884,218127.94460195,0.00,0.00
Alitas,ALT,9962572.083582824,16572.73689448,0.00,0.00
FACT0RN,FACT,9889349.193020398,205485.16645006,0.00,0.00
Arianee,ARIA20,9855174.609581491,64.02707911,0.00,0.00
Dogechain,DC,9833367.801168872,1825715.11380679,0.00,0.00
Realis Worlds,REALIS,9822499.524803413,2323803.3102839,0.00,0.00
Kwenta,KWENTA,9814499.851093521,89864.72052282,0.00,0.00
Venus LTC,vLTC,9810173.666112354,0.0,0.00,0.00
First Convicted Raccon Fred,FRED,9784154.8270502,22344885.28506633,0.00,0.00
Seedworld,SWORLD,9778816.145090802,294946.60434047,0.00,0.00
GameGPT,DUEL,9654557.318448132,933720.97660269,0.00,0.00
KOMPETE,KOMPETE,9615598.822453558,19209.4381657,0.00,0.00
EverValue Coin,EVA,9599178.66947127,51702.33108093,0.00,0.00
Freya by Virtuals,FREYA,9592434.74985825,920101.48055468,0.00,0.00
GAMEE,GMEE,9580613.009955209,290875.46616863,0.00,0.00
Alvara Protocol,ALVA,9580028.368829418,702389.77558293,0.00,0.00
Nexa,NEXA,9560055.314810771,391356.14051649,0.00,0.00
Origin DeFi Governance,OGV,9542942.266649881,0.0,0.00,0.00
WazirX,WRX,9535496.383953772,362704.1623387,0.00,0.00
SuperWalk,GRND,9532459.763561713,3403948.45780763,0.00,0.00
Blocksquare Token,BST,9495075.452437567,307733.12657271,0.00,0.00
Creta World,CRETA,9450816.12165394,426811.9239619,0.00,0.00
Farcana,FAR,9420493.62013922,795810.72064811,0.00,0.00
Bloomsperg Terminal,SPERG,9420169.63610026,1668657.2547776,0.00,0.00
Only1,LIKE,9414935.29966858,928511.45917814,0.00,0.00
Bifrost,BNC,9405431.020144356,1176804.93268651,0.00,0.00
Evan,EVAN,9297700.671071071,6481465.99400735,0.00,0.00
Æternity,AE,9284676.259877503,589999.07415283,0.00,0.00
RocketX exchange,RVF,9259032.395743787,114513.34982022,0.00,0.00
SpaceN,SN,9184296.510440078,2091.47716815,0.00,0.00
MUX Protocol,MCB,9141017.433022188,54975.27561326,0.00,0.00
Ambire Wallet,WALLET,9116611.555753797,1678342.62058477,0.00,0.00
StarSlax,SSLX,9114810.291030373,430839.72231518,0.00,0.00
AIPAD,AIPAD,9099490.423104282,389735.71501893,0.00,0.00
AC Milan Fan Token,ACM,9065184.800686596,2034220.62075132,0.00,0.00
Nestree,EGG,9046506.561112022,766685.49816995,0.00,0.00
Tron Bull,BULL,9035590.765358556,2045685.76242593,0.00,0.00
Shiden Network,SDN,9030499.834763097,100075.38168386,0.00,0.00
Dero,DERO,8958843.24086414,21649.78692781,0.00,0.00
CateCoin,CATE,8940572.18866627,183829.21905808,0.00,0.00
Gekko AI,GEKKO,8904958.603047105,1247803.83862997,0.00,0.00
XCAD Network,XCAD,8891791.53426295,1638107.26180486,0.00,0.00
Splintershards,SPS,8888690.028505795,114420.17061764,0.00,0.00
Indigo Protocol,INDY,8881873.210901463,30307.49882635,0.00,0.00
Keep3rV1,KP3R,8855512.212789625,7529037.847194,0.00,0.00
Argentine Football Association Fan Token,ARG,8823238.620777955,1323792.42685413,0.00,0.00
BlackFort Exchange Network,BXN,8822460.621572314,515826.84145147,0.00,0.00
Data Ownership Protocol,DOP,8813003.736138467,2258994.19241854,0.00,0.00
Netvrk,NETVR,8807755.217938416,379326.58256077,0.00,0.00
Saito,SAITO,8807053.403235048,96486.71750624,0.00,0.00
Nodle,NODL,8781233.671397546,55038.43678357,0.00,0.00
SyncGPT,SYNC,8762190.127285732,0.0,0.00,0.00
Wownero,WOW,8760984.624958169,7611.46676313,0.00,0.00
XELIS,XEL,8714621.788906692,841894.72823804,0.00,0.00
Port3 Network,PORT3,8693291.317323612,835253.58068739,0.00,0.00
Opus,OPUS,8687332.98917493,8375248.56093705,0.00,0.00
OpenChat,CHAT,8670004.35577034,327298.85978444,0.00,0.00
Credefi,CREDI,8660855.06795066,320169.74320262,0.00,0.00
Luigi Mangione,LUIGI,8636399.556337904,30463370.92968369,0.00,0.00
Phantasma,SOUL,8589200.285180451,166192.97218111,0.00,0.00
Non-Playable Coin Solana,NPCS,8579358.824588442,919673.72873098,0.00,0.00
BASE,BASE,8578387.298615731,151451.96891452,0.00,0.00
Kudai,KUDAI,8532595.34378757,2027508.87169012,0.00,0.00
Orbitt Token,ORBT,8513660.083050817,4436761.28081541,0.00,0.00
Rifampicin,RIF,8493190.429684067,13296009.99642654,0.00,0.00
Pallapay,PALLA,8488010.601001626,0.0,0.00,0.00
PUPS (Ordinals) [Old],PUPS,8468710.740683334,1226.67987968,0.00,0.00
FONSmartChain,FON,8456456.567190949,97505.54843735,0.00,0.00
Litecoin Cash,LCC,8454843.640066963,12.83167341,0.00,0.00
Cult DAO,CULT,8439070.042797457,154148.34958845,0.00,0.00
Galatasaray Fan Token,GAL,8431561.240724884,1141399.95733461,0.00,0.00
Efinity Token,EFI,8386878.101663737,0.0,0.00,0.00
Kendu Inu,KENDU,8381411.154369521,1210154.408928,0.00,0.00
Coinweb,CWEB,8345248.189490847,92829.66736396,0.00,0.00
HUSD,HUSD,8333369.465207266,0.0,0.00,0.00
LogX Network,LOGX,8326461.761036112,4204446.22881471,0.00,0.00
Buying.com,BUY,8318858.141431549,16247.68724528,0.00,0.00
UNKJD,MBS,8309804.79709191,117741.95409814,0.00,0.00
KardiaChain,KAI,8274727.69472314,105607.39890416,0.00,0.00
Starlink,STARL,8269655.151620999,752719.23409191,0.00,0.00
THE BALKAN DWARF,KEKEC,8230916.5561975725,690985.17779427,0.00,0.00
Billy,BILLY,8201816.405586766,16804055.54474936,0.00,0.00
Gui Inu,GUI,8177808.658519786,453626.27499811,0.00,0.00
SwissCheese,SWCH,8153294.3191656135,1958542.72404676,0.00,0.00
Plugin Decentralized Oracle,PLI,8135341.293924827,983357.11604831,0.00,0.00
Sharpe AI,SAI,8031417.362411953,2840872.78193079,0.00,0.00
Ghosty Cash,SPKY,8016005.668590806,7740.33844923,0.00,0.00
Matrix AI Network,MAN,8005408.723677576,165304.71566343,0.00,0.00
HahaYes,RIZO,7983336.346271492,1119912.69028481,0.00,0.00
Radiant,RXD,7974614.225055717,154059.90736821,0.00,0.00
Alphakek AI,AIKEK,7961715.830789154,160426.88771055,0.00,0.00
Urolithin A,URO,7935442.494852864,22508270.69819622,0.00,0.00
QnA3.AI,GPT,7927688.5098095685,1700511.70571207,0.00,0.00
Karura,KAR,7884167.27831912,99233.03670437,0.00,0.00
CENNZnet,CENNZ,7881048.109261893,55343.10605908,0.00,0.00
SolCex,SOLCEX,7793533.146808331,507262.93695613,0.00,0.00
Apeiron,APRS,7791064.36308613,1439556.69878608,0.00,0.00
Ref Finance,REF,7774735.137861958,100888.03258182,0.00,0.00
Inter Milan Fan Token,INTER,7730141.530435658,657311.9718726,0.00,0.00
